place_name,reviewer_name,review_rating,review_date,review_text,local_guide,scraped_at
Parco Ciani,Angelo Mangili,5,9 hours ago,Relaxing place with a nice view on Lugano bay,False,2026-04-20T21:59:09.108630
Parco Ciani,Viktors A,5,a day ago,Nice park and kids playground.,False,2026-04-20T21:59:10.379608
Parco Ciani,daniele castrogiovanni,5,Edited a day ago,Lugano,False,2026-04-20T21:59:10.511110
Parco Ciani,Arash Sharifi,5,2 days ago,Amazing view,False,2026-04-20T21:59:12.864262
Parco Ciani,Ronny Presente,5,3 days ago,Beautiful and peaceful,False,2026-04-20T21:59:14.125772
Parco Ciani,Derbel Amir,5,4 days ago,One of the most beautiful parks I've ever seen!,False,2026-04-20T21:59:14.265412
Parco Ciani,F. A.,3,4 days ago,Dirty. Nice view. Nice park. It's a shame it's poorly maintained.,False,2026-04-20T21:59:14.399313
Parco Ciani,Mihai Valeriu,5,4 days ago,Fantastic! An explosion of color with the lake and mountains in the background.,False,2026-04-20T21:59:14.540779
Parco Ciani,Roberta Politanò,5,a week ago,"A charming park on Lake Lugano, with well-maintained greenery and the paths that cross it. Drinking fountains and benches for short refreshments.",False,2026-04-20T21:59:21.305766
Parco Ciani,SferiK X,5,a week ago,"Beautiful park, with a lakeside walk and green areas full of tulips",False,2026-04-20T21:59:22.539546
Parco Ciani,Matteo,5,a week ago,"Beautiful park, well-kept and full of tulips",False,2026-04-20T21:59:22.673024
Parco Ciani,Dario Furrer,5,a week ago,"A must-see in Lugano. Beautiful flower displays and photo opportunities. Quiet benches for relaxing and contemplating.

Only the drug addicts on the east side facing the street look unpleasant 😕.",False,2026-04-20T21:59:22.805723
Parco Ciani,Daniela Zanin,5,a week ago,A corner of paradise❤️,False,2026-04-20T21:59:26.192760
Parco Ciani,Sumeda Fernando,5,a week ago,Wonderful..,False,2026-04-20T21:59:26.299544
Parco Ciani,Monica Muscio,5,a week ago,Beautiful park in the city center of Lugano!!,False,2026-04-20T21:59:26.407440
Parco Ciani,Esma Özkan,5,a week ago,A park with wonderful views.,False,2026-04-20T21:59:26.515440
Parco Ciani,Dani,5,Edited a week ago,👍🤩🤩😁😁 …,False,2026-04-20T21:59:26.634801
